Building/  Project Name,Street Name,Postal District,Type,No. of Bedroom  (for Non-Landed Only),Monthly Rent  ($),Floor Area (Sqft)  1,Lease  Commencement  Date
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3560,1200 to 1300,Jun-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,2,4000,1300 to 1400,Jun-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,4,8600,2000 to 2100,Jun-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2600,1300 to 1400,Jun-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,4,8200,2800 to 2900,Jun-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3750,1300 to 1400,Jun-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2400,1500 to 1600,Jun-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2950,1200 to 1300,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2900,1200 to 1300,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3500,1400 to 1500,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2750,1300 to 1400,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2600,1000 to 1100,May-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,3,4200,1400 to 1500,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2750,1000 to 1100,May-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,2,2300,800 to 900,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3500,1300 to 1400,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2800,1200 to 1300,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,3500,1000 to 1100,May-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,3,4700,1400 to 1500,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2550,1300 to 1400,May-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2900,1200 to 1300,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2500,1200 to 1300,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2800,1000 to 1100,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2600,1200 to 1300,Apr-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,4,8400,>3000,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3200,1600 to 1700,Apr-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,3,2900,1100 to 1200,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2600,1200 to 1300,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2700,1300 to 1400,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2400,1000 to 1100,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2800,1000 to 1100,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2400,1000 to 1100,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3500,1300 to 1400,Apr-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3250,1200 to 1300,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3350,1600 to 1700,Mar-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,2,4300,1300 to 1400,Mar-21
GLENFIELD APARTMENTS,JOO CHIAT PLACE,15,Non-landed Properties,,2200,1200 to 1300,Mar-21
GLASGOW TERRACE,GLASGOW ROAD,19,Terrace House,,3100,1500 to 2000,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2600,1000 to 1100,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2600,1200 to 1300,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2750,1000 to 1100,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3000,1200 to 1300,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2900,1200 to 1300,Mar-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,3,2900,1100 to 1200,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2250,1200 to 1300,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3200,1200 to 1300,Feb-21
GLENFIELD APARTMENTS,JOO CHIAT PLACE,15,Non-landed Properties,,2200,1200 to 1300,Feb-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,2,4100,1300 to 1400,Feb-21
GLENFIELD APARTMENTS,JOO CHIAT PLACE,15,Non-landed Properties,,2500,1200 to 1300,Feb-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2700,1200 to 1300,Feb-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,4,8100,>3000,Feb-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,3,2900,1100 to 1200,Feb-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2600,1200 to 1300,Feb-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2500,1000 to 1100,Feb-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,3000,1000 to 1100,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3250,1200 to 1300,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2700,1000 to 1100,Jan-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,4,7500,>3000,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3200,1500 to 1600,Jan-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,2,2200,900 to 1000,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2500,1200 to 1300,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2500,1000 to 1100,Jan-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,3,4800,1400 to 1500,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2680,1200 to 1300,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3000,1200 to 1300,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2700,1300 to 1400,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2950,1000 to 1100,Jan-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,2,2550,800 to 900,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2200,1200 to 1300,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,3300,1200 to 1300,Jan-21
GLASGOW TERRACE,GLASGOW ROAD,19,Terrace House,,5700,3000 to 3500,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,2600,1300 to 1400,Jan-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,2,2250,900 to 1000,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2700,1000 to 1100,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2200,1000 to 1100,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2500,1000 to 1100,Jan-21
GLENFIELD APARTMENTS,JOO CHIAT PLACE,15,Non-landed Properties,,2200,1200 to 1300,Jan-21
GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,2,2400,1000 to 1100,Jan-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,4,8300,>3000,Jan-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,3,4800,1900 to 2000,Jan-21
GLENTREES,MOUNT SINAI LANE,10,Non-landed Properties,3,4200,1400 to 1500,Jan-21
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-landed Properties,3,2800,1100 to 1200,Jan-21
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,5,Non-landed Properties,3,3400,1400 to 1500,Jun-21
GLORIA MANSION,PASIR PANJANG ROAD,5,Non-landed Properties,2,2500,1100 to 1200,Jun-21
GLOUCESTER MANSIONS,NEWTON ROAD,11,Non-landed Properties,3,3750,1100 to 1200,Jun-21
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,5,Non-landed Properties,3,3400,1400 to 1500,Jun-21
GLOUCESTER MANSIONS,NEWTON ROAD,11,Non-landed Properties,3,3500,1100 to 1200,Jun-21
GLOUCESTER MANSIONS,NEWTON ROAD,11,Non-landed Properties,1,2300,600 to 700,May-21
GLOUCESTER MANSIONS,NEWTON ROAD,11,Non-landed Properties,2,2900,900 to 1000,May-21
GLOUCESTER MANSIONS,NEWTON ROAD,11,Non-landed Properties,1,2350,600 to 700,May-21
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1500 to 1600,May-21
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,5,Non-landed Properties,3,5100,1800 to 1900,May-21
GLOUCESTER MANSIONS,NEWTON ROAD,11,Non-landed Properties,1,2300,600 to 700,May-21
